,Warehouse,New World Albany,New World Birkenhead,New World Botany,New World Browns Bay,New World Devonport,New World Eastridge,New World Green Bay,New World Howick,New World Long Bay,New World Metro Queen St,New World Milford,New World Mt Roskill,New World New Lynn,New World Papakura,New World Papatoetoe,New World Remuera,New World Southmall,New World Stonefields,New World Victoria Park,Pak 'n Save Albany,Pak 'n Save Botany,Pak 'n Save Clendon,Pak 'n Save Glen Innes,Pak 'n Save Henderson,Pak 'n Save Lincoln Road,Pak 'n Save Mangere,Pak 'n Save Manukau,Pak 'n Save Mt Albert,Pak 'n Save Ormiston,Pak 'n Save Papakura,Pak 'n Save Royal Oak,Pak 'n Save Sylvia Park,Pak 'n Save Wairau Road,Pak 'n Save Westgate,Four Square BKs Torbay,Four Square Botany Junction,Four Square Cockle Bay,Four Square Ellerslie,Four Square Everglade,Four Square Fair Price Henderson,Four Square Glen Eden,Four Square Great Eastern,Four Square Hobsonville,Four Square Lancaster,Four Square Pakuranga Heights,Fresh Collective Alberton
Warehouse,0,29912.3,21911.69,19436.03,32763.39,28475.99,14153.58,7577.49,22053.66,35870.47,15419.93,24063.17,1015.08,7029.68,31152.4,17576.14,9305.48,23633.32,12092.83,9246.85,29648.74,19257.58,20541.31,17706.16,15415.17,15373.92,11271.15,19909.44,10754.71,24436.89,27359.79,6317.42,13773.87,24793.87,18733.47,35663.35,23564.31,23573.16,10201.28,21268.85,16434.8,11082.53,17688.4,22603.95,24997.21,16615.22,5221.31
New World Albany,30594.5,0,13771.68,35823.04,5013.23,18298.5,24505.27,31175.78,38440.68,7200.13,17545.82,9340.83,28727.16,28496.72,49644.85,36704.86,22880.4,42125.77,26549.48,16675.18,550.95,35644.59,44992.02,30638.75,22338.2,20028.93,33516.15,37316.05,25303.17,38514.09,45852.23,24809.25,28687.88,7924.47,15812.14,6993.01,37324.14,39960.18,24473.68,39272.69,21868.49,28572.79,29532.83,12469.08,12072.52,33002.24,22461.08
New World Birkenhead,22910.03,12884.91,0,28138.58,15736,13860.24,16820.8,23491.31,30756.21,18843.08,9861.36,7610.97,21042.69,20812.26,41960.38,29020.39,15195.94,34441.3,18865.02,8990.72,12621.35,27960.13,37307.56,22954.29,23828.71,23787.46,25831.69,29631.59,17618.71,30829.63,38167.76,17124.79,21003.41,5493.4,20590.63,18635.96,29639.68,32275.72,16789.21,31588.22,24848.34,24109.68,21848.36,17247.56,3575.95,25317.78,14776.62
New World Botany,20299.45,35668.35,27667.74,0,38519.43,34232.03,13944.19,26758.45,5195.57,41626.52,19534.92,29819.22,19457.74,28564.68,19529.72,9206.87,14144.18,10996.84,9542.08,19796.4,35404.78,753.75,13991.53,10466.39,31581.13,31539.88,17870.9,7140.99,25371.13,4604.43,15737.1,14236.79,8159.03,30549.92,34899.43,41419.39,3611.55,5660.42,12146.47,7491.13,32600.76,31862.1,10448.63,38769.91,30753.26,4087.61,22529.04
New World Browns Bay,33482.27,4991.83,16659.45,38710.81,0,18785.86,27393.04,34063.55,41328.44,5100.16,20433.59,8985.89,31614.93,31384.49,52532.62,39592.63,25768.17,45013.54,29437.25,19562.95,5746.81,38532.36,47879.79,33526.52,27243.97,24934.71,36403.92,40203.82,28190.94,41401.86,48740,27697.02,31575.65,10812.24,20717.91,3351.38,40211.91,42847.95,27361.45,42160.46,26774.27,33478.57,32420.6,17374.85,14960.29,35890.01,25348.85
New World Devonport,27048.49,16635.86,12167.13,32277.04,17080.55,0,20959.27,27629.78,34894.67,22594.03,13999.82,8233.52,25181.15,24950.72,46098.84,33158.86,19334.4,38579.77,23003.48,13129.18,16372.29,32098.59,41446.02,27092.75,27967.17,27925.92,29970.15,33770.05,21757.17,34968.09,42306.23,21263.25,25141.88,8881.79,27067.89,22386.9,33778.14,36414.18,20927.68,35726.69,28986.8,28248.14,25986.83,23724.83,14115.56,29456.24,18915.08
New World Eastridge,14247.55,26031.7,18031.08,13886.03,28882.78,24595.38,0,21577.66,15963.83,31989.87,7170.97,20182.57,13405.85,18898.61,32065.86,19125.88,4916.3,24546.78,5124.94,8718.08,25768.13,13707.58,27413.04,3420.51,21915.06,21873.81,16353.58,19737.07,15705.06,20935.11,28273.24,9451.73,8310.32,20913.27,25233.36,31782.74,19745.16,17483.34,6631.2,21693.7,22934.69,22196.03,3716.16,29103.84,21116.61,11076.97,12862.97
New World Green Bay,7591.68,33537.3,25536.69,26015.34,36388.39,32100.98,24453.04,0,28632.97,39495.47,19044.93,27688.17,7226.83,3263.61,37731.72,24155.46,17181.15,30212.64,19814.53,17472.67,33273.73,25836.89,27120.62,24285.47,9926.2,12542.55,17850.46,26488.75,13923.34,31016.2,33939.1,12896.74,20353.18,28418.87,17688.18,39288.34,30143.63,30152.48,16780.6,27848.16,11970.44,4929.23,24267.71,21558.66,28622.21,23194.54,9449.18
New World Howick,22052.89,37421.79,29421.18,5180.61,40272.88,35985.48,15175.4,28511.89,0,43379.96,21288.37,31572.66,21211.19,30318.12,24564.83,14277.08,15897.62,16031.96,10773.29,21549.85,37158.23,4669.95,19026.65,11697.6,33334.57,33293.32,22906.01,12176.1,27124.57,9841.66,20772.21,15990.24,9912.47,32303.36,36652.88,43172.84,8646.67,1712.06,13899.92,12526.24,34354.2,33615.54,11679.84,40523.35,32506.7,5337.57,24282.48
New World Long Bay,36299.02,7009.03,19476.21,41527.57,5118.15,24003.03,30209.79,36880.3,44145.2,0,23250.35,13367.55,34431.68,34201.24,55349.37,42409.38,28584.92,47830.29,32254.01,22379.7,7563.56,41349.12,50696.55,36343.27,30060.73,27751.46,39220.68,43020.57,31007.7,44218.61,51556.75,30513.77,34392.4,13628.99,23534.67,1797.37,43028.66,45664.7,30178.2,44977.21,29591.02,36295.32,35237.35,20191.6,17777.04,38706.76,28165.6
