Route,Cost
"['Warehouse', 'Four Square Ellerslie', 'New World Papatoetoe', 'New World Papakura', 'Four Square Everglade', 'Four Square Botany Junction', 'New World Botany', 'Four Square Cockle Bay', 'New World Howick', 'Four Square Pakuranga Heights', 'Four Square Great Eastern', 'New World Eastridge', 'New World Remuera', 'Warehouse']",13626.739999999998
"['Warehouse', 'Four Square Ellerslie', 'New World Stonefields', 'New World Papatoetoe', 'New World Southmall', 'Four Square Everglade', 'Four Square Botany Junction', 'New World Botany', 'Four Square Cockle Bay', 'Four Square Pakuranga Heights', 'Four Square Great Eastern', 'New World Eastridge', 'New World Remuera', 'Warehouse']",12943.5
"['Warehouse', 'Four Square Ellerslie', 'New World Stonefields', 'Four Square Great Eastern', 'New World Papatoetoe', 'New World Papakura', 'New World Southmall', 'Four Square Everglade', 'Four Square Botany Junction', 'Four Square Cockle Bay', 'New World Howick', 'Four Square Pakuranga Heights', 'New World Remuera', 'Warehouse']",14231.09
"['Warehouse', 'New World Eastridge', 'Four Square Great Eastern', 'New World Howick', 'Four Square Cockle Bay', 'New World Botany', 'New World Papatoetoe', 'New World Southmall', 'Four Square Everglade', 'Four Square Botany Junction', 'Four Square Pakuranga Heights', 'New World Stonefields', 'Four Square Ellerslie', 'Warehouse']",13809.1
"['Warehouse', 'Four Square Ellerslie', 'New World Papakura', 'New World Southmall', 'Four Square Everglade', 'Four Square Botany Junction', 'New World Botany', 'Four Square Cockle Bay', 'New World Howick', 'Four Square Pakuranga Heights', 'Four Square Great Eastern', 'New World Eastridge', 'New World Remuera', 'Warehouse']",13281.549999999996
"['Warehouse', 'Four Square Ellerslie', 'New World Papatoetoe', 'New World Papakura', 'New World Southmall', 'Four Square Everglade', 'Four Square Botany Junction', 'New World Botany', 'Four Square Cockle Bay', 'New World Howick', 'Four Square Pakuranga Heights', 'Four Square Great Eastern', 'New World Remuera', 'Warehouse']",13609.259999999998
"['Warehouse', 'Four Square Ellerslie', 'New World Stonefields', 'Four Square Great Eastern', 'New World Howick', 'Four Square Cockle Bay', 'New World Botany', 'New World Papakura', 'New World Southmall', 'Four Square Everglade', 'Four Square Botany Junction', 'Four Square Pakuranga Heights', 'New World Remuera', 'Warehouse']",14326.98
"['Warehouse', 'Four Square Ellerslie', 'New World Stonefields', 'New World Papakura', 'Four Square Everglade', 'Four Square Botany Junction', 'New World Botany', 'Four Square Cockle Bay', 'New World Howick', 'Four Square Pakuranga Heights', 'Four Square Great Eastern', 'New World Eastridge', 'New World Remuera', 'Warehouse']",13653.369999999999
"['Warehouse', 'Four Square Ellerslie', 'New World Stonefields', 'Four Square Pakuranga Heights', 'New World Papatoetoe', 'New World Southmall', 'Four Square Everglade', 'Four Square Botany Junction', 'Four Square Cockle Bay', 'New World Howick', 'Four Square Great Eastern', 'New World Eastridge', 'New World Remuera', 'Warehouse']",13560.720000000001
"['Warehouse', 'Four Square Ellerslie', 'New World Stonefields', 'Four Square Great Eastern', 'New World Howick', 'Four Square Cockle Bay', 'New World Botany', 'New World Papatoetoe', 'New World Southmall', 'Four Square Everglade', 'Four Square Botany Junction', 'Four Square Pakuranga Heights', 'New World Remuera', 'Warehouse']",13579.240000000002
"['Warehouse', 'Four Square Ellerslie', 'New World Stonefields', 'New World Papatoetoe', 'New World Papakura', 'Four Square Everglade', 'Four Square Botany Junction', 'New World Botany', 'Four Square Cockle Bay', 'Four Square Pakuranga Heights', 'Four Square Great Eastern', 'New World Eastridge', 'New World Remuera', 'Warehouse']",14135.55
"['Warehouse', 'Four Square Ellerslie', 'New World Stonefields', 'New World Papakura', 'New World Southmall', 'Four Square Everglade', 'Four Square Botany Junction', 'New World Botany', 'Four Square Cockle Bay', 'Four Square Pakuranga Heights', 'Four Square Great Eastern', 'New World Eastridge', 'New World Remuera', 'Warehouse']",13790.36
"['Warehouse', 'Four Square Ellerslie', 'New World Papatoetoe', 'New World Papakura', 'New World Southmall', 'Four Square Everglade', 'Four Square Botany Junction', 'New World Botany', 'Four Square Cockle Bay', 'Four Square Pakuranga Heights', 'Four Square Great Eastern', 'New World Eastridge', 'New World Remuera', 'Warehouse']",13763.73
"['Warehouse', 'Four Square Ellerslie', 'New World Stonefields', 'New World Southmall', 'Four Square Everglade', 'Four Square Botany Junction', 'New World Botany', 'Four Square Cockle Bay', 'New World Howick', 'Four Square Pakuranga Heights', 'Four Square Great Eastern', 'New World Eastridge', 'New World Remuera', 'Warehouse']",12465.369999999999
"['Warehouse', 'Four Square Ellerslie', 'New World Stonefields', 'New World Papatoetoe', 'Four Square Everglade', 'Four Square Botany Junction', 'New World Botany', 'Four Square Cockle Bay', 'New World Howick', 'Four Square Pakuranga Heights', 'Four Square Great Eastern', 'New World Eastridge', 'New World Remuera', 'Warehouse']",12377.779999999999
"['Warehouse', 'Four Square Ellerslie', 'New World Papatoetoe', 'New World Southmall', 'Four Square Everglade', 'Four Square Botany Junction', 'New World Botany', 'Four Square Cockle Bay', 'New World Howick', 'Four Square Pakuranga Heights', 'Four Square Great Eastern', 'New World Eastridge', 'New World Remuera', 'Warehouse']",12434.689999999999
"['Warehouse', 'Four Square Ellerslie', 'New World Papakura', 'Four Square Everglade', 'Four Square Botany Junction', 'New World Botany', 'Four Square Cockle Bay', 'New World Howick', 'Four Square Pakuranga Heights', 'Four Square Great Eastern', 'New World Eastridge', 'New World Remuera', 'Warehouse']",12790.799999999996
"['Warehouse', 'Four Square Ellerslie', 'New World Papatoetoe', 'New World Papakura', 'Four Square Everglade', 'Four Square Botany Junction', 'New World Botany', 'Four Square Cockle Bay', 'Four Square Pakuranga Heights', 'Four Square Great Eastern', 'New World Eastridge', 'New World Remuera', 'Warehouse']",13272.98
