Route,Cost,State
"['Warehouse', 'Four Square Glen Eden', 'Four Square Fair Price Henderson', 'Four Square Hobsonville', 'Four Square BKs Torbay', 'Four Square Lancaster', 'Fresh Collective Alberton', 'Warehouse']",10590.36,1.0
"['Warehouse', 'Four Square Everglade', 'Four Square Botany Junction', 'Four Square Cockle Bay', 'Four Square Pakuranga Heights', 'Four Square Great Eastern', 'Four Square Ellerslie', 'Warehouse']",8380.849999999999,1.0
"['Warehouse', ""Pak 'n Save Mangere"", 'Warehouse']",2483.32,1.0
"['Warehouse', ""Pak 'n Save Mt Albert"", 'Warehouse']",1341.92,1.0
"['Warehouse', 'New World Devonport', 'New World Birkenhead', 'Warehouse']",6637.39,1.0
"['Warehouse', 'New World Metro Queen St', 'New World Victoria Park', 'Warehouse']",3274.64,1.0
"['Warehouse', 'New World Long Bay', 'New World Browns Bay', 'Warehouse']",6569.2,1.0
"['Warehouse', 'New World Remuera', ""Pak 'n Save Royal Oak"", 'Warehouse']",3258.38,1.0
"['Warehouse', ""Pak 'n Save Lincoln Road"", 'New World New Lynn', 'Warehouse']",4068.28,1.0
"['Warehouse', ""Pak 'n Save Manukau"", 'New World Papatoetoe', 'Warehouse']",3967.19,1.0
"['Warehouse', 'New World Southmall', ""Pak 'n Save Clendon"", 'Warehouse']",4563.36,1.0
"['Warehouse', 'New World Albany', ""Pak 'n Save Albany"", 'Warehouse']",5298.690000000001,1.0
"['Warehouse', 'New World Milford', ""Pak 'n Save Wairau Road"", 'Warehouse']",4934.030000000002,1.0
"['Warehouse', ""Pak 'n Save Westgate"", 'New World Mt Roskill', 'Warehouse']",3809.64,1.0
"['Warehouse', 'New World Papakura', ""Pak 'n Save Papakura"", 'Warehouse']",5440.57,1.0
"['Warehouse', ""Pak 'n Save Henderson"", 'New World Green Bay', 'Warehouse']",4166.33,1.0
"['Warehouse', 'New World Stonefields', ""Pak 'n Save Sylvia Park"", 'Warehouse']",4114.48,1.0
"['Warehouse', 'New World Botany', ""Pak 'n Save Ormiston"", 'Warehouse']",5371.299999999998,1.0
"['Warehouse', ""Pak 'n Save Glen Innes"", 'New World Eastridge', 'Warehouse']",4639.780000000002,1.0
"['Warehouse', 'New World Howick', ""Pak 'n Save Botany"", 'Warehouse']",5651.74,1.0
